user_id,merchant_id,label
34176,3906,0
34176,121,0
34176,4356,1
34176,2217,0
230784,4818,0
362112,2618,0
34944,2051,0
231552,3828,1
231552,2124,0
232320,1168,0
232320,4270,0
167040,671,0
101760,1760,0
298368,2981,0
36480,4730,0
299136,2935,0
37248,2615,0
103296,2482,0
299904,1742,0
38016,1028,0
234624,2537,0
365952,1203,0
104064,3870,0
104064,669,0
300672,649,0
38784,3623,0
38784,3578,0
235392,1056,0
301440,684,0
39552,3152,0
105600,1487,0
302208,4558,0
302208,3472,0
40320,4173,0
171648,3828,0
303744,4871,0
238464,361,0
238464,3152,0
173184,1346,0
173184,3955,0
304512,4793,0
42624,946,0
173952,3042,0
370560,3152,0
370560,4595,0
108672,4760,0
305280,630,0
240000,2278,0
371328,234,0
306048,2579,0
44160,1272,0
240768,614,0
110208,433,0
306816,1489,1
306816,941,0
241536,2766,0
241536,1492,0
176256,3323,1
110976,159,0
307584,1340,1
307584,1653,0
307584,4173,0
177024,794,0
111744,3828,0
308352,152,0
243072,4687,0
243072,3826,0
177792,951,0
374400,302,0
309120,4775,1
47232,191,0
375168,606,0
48000,1102,0
244608,2105,0
179328,1679,0
375936,3954,0
310656,4829,0
48768,3630,0
180096,3319,0
311424,1703,0
246144,3862,0
180864,783,0
377472,4968,0
115584,1970,0
181632,1423,0
378240,1861,0
116352,4864,0
312960,2537,0
312960,4454,0
247680,3990,1
182400,3938,1
379008,2081,0
117120,3826,0
313728,3734,0
313728,1093,0
313728,2971,0
313728,2592,0
183168,4985,0
379776,3134,0
52608,1760,0
183936,2339,0
315264,4044,0
53376,839,1
381312,2708,0
119424,1491,0
119424,3910,0
316032,1972,0
54144,861,0
250752,4504,0
316800,4616,0
120960,1340,0
55680,2994,0
252288,1916,0
56448,1724,0
187776,168,0
187776,1346,0
122496,4079,0
319104,2318,0
57216,3954,0
253824,4442,0
188544,4280,0
385152,4966,0
57984,1056,0
189312,1760,0
189312,2511,0
385920,241,0
124032,3419,0
58752,3476,0
58752,794,0
58752,4650,0
255360,1827,0
190080,4469,0
190080,3041,0
190080,63,0
386688,606,0
124800,4976,0
321408,1840,0
321408,3103,0
321408,2273,0
59520,1019,0
256128,2158,0
256128,639,0
190848,4730,0
387456,588,0
125568,3350,0
191616,3439,0
126336,3578,0
126336,4325,0
322944,1892,0
192384,4173,0
127104,4048,1
323712,1310,0
61824,2928,0
324480,2891,1
259200,4048,1
128640,4589,0
325248,2592,0
194688,2273,0
391296,2821,0
195456,2482,0
64896,1679,0
130944,2950,0
262272,3734,0
384,3689,0
196992,1833,0
393600,2102,0
66432,606,0
263040,3055,0
394368,685,0
67200,4043,0
67200,4955,0
1920,4015,0
395136,2217,0
199296,1501,0
199296,1412,0
330624,3063,0
330624,829,0
68736,2093,0
265344,1142,0
200064,3734,0
331392,1978,0
69504,2066,0
266112,141,0
4224,4864,0
397440,2403,0
266880,1884,0
71040,598,0
398976,4173,0
71808,4850,0
203136,2193,0
399744,4173,0
399744,2664,0
137856,649,0
334464,4170,0
72576,141,0
269184,4992,1
7296,4976,1
335232,3889,0
269952,3607,0
8064,1425,0
74112,4270,0
205440,1451,0
205440,1978,0
205440,4864,0
205440,3472,1
205440,4240,0
336768,2721,0
402816,4043,0
402816,1854,0
272256,3623,0
10368,467,0
403584,4981,0
403584,1102,0
141696,2138,0
273024,390,0
273024,2611,0
77184,2537,0
208512,2138,0
405120,2669,0
143232,2664,0
77952,4162,0
12672,3828,0
405888,2430,0
144000,1487,0
340608,2537,1
340608,104,0
275328,4658,0
13440,2935,0
210048,1340,0
144768,3578,0
341376,4173,0
79488,951,0
14208,3154,0
407424,4794,0
80256,2537,0
80256,2521,0
14976,402,0
14976,4469,0
211584,359,0
408192,1093,1
408192,742,0
408192,114,0
146304,3593,0
342912,514,0
212352,2596,0
147072,740,0
81792,1861,0
409728,1023,0
409728,2436,0
344448,3835,0
279168,3410,0
410496,3622,0
83328,1501,0
279936,58,0
18048,3173,0
214656,4173,0
215424,1936,0
412032,4099,0
412032,1393,0
412032,1742,0
150144,2099,0
84864,2545,0
150912,3102,0
20352,4549,0
348288,1346,0
348288,3152,0
217728,4826,0
152448,3623,0
87168,1193,0
218496,4322,0
415104,4949,0
153216,4793,0
349824,946,0
87936,1520,0
284544,2403,0
284544,3965,0
415872,2669,0
415872,3693,0
153984,2102,0
153984,4044,0
285312,1203,0
23424,941,0
416640,443,0
154752,2124,0
89472,2721,0
220800,297,0
417408,3828,0
155520,323,0
90240,2447,0
286848,2072,0
286848,2669,0
286848,1555,0
286848,1415,0
24960,1056,0
352896,2537,0
287616,1484,0
418944,3912,0
157056,1370,0
288384,3463,0
288384,2565,0
223104,3728,0
419712,1102,0
27264,4282,0
223872,4265,0
93312,102,0
28032,4044,1
421248,3689,0
355968,2217,0
290688,2217,0
28800,935,0
225408,2669,0
160128,960,0
94848,4079,0
29568,1840,0
226176,4955,0
357504,1310,0
30336,415,0
226944,2393,0
423552,4388,0
292992,2020,0
31104,3161,0
97152,361,1
31872,2031,0
163200,1089,0
359808,4735,0
229248,586,0
98433,522,0
295041,2469,0
33153,3828,0
33153,4976,0
361089,4373,0
33921,310,0
165249,2662,0
165249,1487,1
361857,2821,0
34689,1200,0
231297,682,0
231297,2415,0
166017,3835,0
166017,2537,0
362625,2919,0
362625,1875,0
100737,1810,0
35457,3623,0
35457,1496,0
232065,1825,0
363393,1255,1
363393,219,0
101505,2138,0
298113,2294,0
36225,474,0
232833,3624,0
364161,4558,0
36993,3885,0
364929,4985,0
103041,1340,0
37761,121,0
169089,3835,0
365697,4760,0
169857,2582,0
169857,4558,0
104577,4005,1
39297,4940,0
170625,1393,0
105345,742,0
40065,1993,0
171393,4220,0
368001,2217,1
106113,4950,0
40833,437,0
237441,4368,0
172161,1427,0
106881,3460,0
303489,4648,0
41601,3828,0
172929,1102,0
369537,3936,0
107649,1272,0
107649,2471,0
304257,524,0
304257,1557,0
42369,2217,0
238977,4949,0
238977,3484,0
238977,2711,0
238977,437,0
43137,2872,0
174465,2569,0
109185,316,0
43905,1916,0
43905,3835,1
175233,3968,0
44673,4976,1
241281,2543,0
176001,4973,0
372609,2081,0
307329,4234,0
45441,1187,0
45441,1892,0
242049,3462,0
111489,1203,0
111489,608,1
308097,1892,0
308097,320,0
46209,2124,0
242817,2552,0
177537,2051,0
308865,2821,0
46977,3593,0
243585,4463,0
178305,2452,0
113025,1123,0
244353,3472,0
310401,4145,0
245121,3609,0
179841,2145,0
114561,4173,0
114561,4043,1
180609,976,0
377217,2615,0
311937,1067,0
50049,4079,0
50049,4170,0
50049,3965,0
50049,2003,0
246657,2128,0
377985,1318,0
116097,4005,0
312705,4473,0
313473,1467,0
51585,154,0
248193,4595,0
117633,2403,1
117633,2872,0
248961,4756,0
248961,3843,0
315009,3134,0
184449,4444,0
119169,1816,0
250497,3889,1
250497,3319,1
185217,2634,0
381825,2138,0
316545,4976,0
251265,786,0
382593,3269,0
252033,3819,0
383361,1628,1
121473,4818,0
318081,320,0
252801,685,0
187521,104,0
384129,51,0
122241,2066,0
56961,2971,0
56961,1664,0
57729,3898,1
254337,3878,0
189057,3650,0
320385,2459,0
58497,4504,0
386433,2108,0
124545,1310,0
59265,361,0
255873,2821,0
190593,1117,0
125313,3971,0
321921,361,0
256641,2879,0
387969,1346,0
126081,1501,0
126081,10,0
126081,1235,0
60801,4607,0
257409,1111,0
192129,2031,0
388737,1704,0
388737,3936,0
126849,3200,0
323457,4864,0
61569,1142,0
389505,2482,0
389505,4072,0
127617,4607,0
127617,798,0
324225,1056,0
62337,1239,1
258945,3841,1
258945,4282,0
258945,608,0
258945,606,0
193665,4173,0
193665,1203,0
128385,4768,0
63105,669,0
259713,4444,0
63873,2224,0
63873,323,0
260481,784,0
260481,2664,0
195201,2138,1
326529,4282,0
392577,2936,0
327297,1102,0
65409,3971,0
262017,3319,0
196737,437,0
131457,3925,0
328065,760,0
328065,3984,0
66177,3111,1
897,1689,0
197505,4976,0
328833,443,0
66945,2447,0
1665,606,0
67713,4101,0
264321,4847,0
264321,2082,0
2433,1494,1
395649,3365,0
395649,2284,0
133761,402,0
134529,2849,0
69249,794,0
265857,503,0
397185,2273,0
70017,4248,0
201345,4083,0
397953,2273,1
397953,1704,0
397953,278,0
136065,2173,0
5505,3170,0
202113,4903,0
136833,2828,0
71553,962,0
202881,1661,0
399489,1742,0
137601,1618,0
268929,3205,0
268929,2597,0
7041,4170,0
203649,4976,0
138369,3205,0
334977,1076,0
8577,4850,0
205185,1472,0
401793,3103,0
139905,2780,1
139905,608,0
139905,3152,0
205953,3487,0
205953,63,0
402561,4090,0
337281,1472,0
75393,2273,0
10113,317,0
338049,2928,0
76161,2552,0
207489,35,0
404097,148,0
142209,1102,0
338817,2795,0
76929,606,0
76929,4044,0
208257,882,0
404865,3502,0
142977,3828,0
77697,4976,0
274305,141,0
12417,669,0
209025,2915,0
143745,3624,0
340353,1760,0
78465,630,0
78465,1346,0
78465,798,0
13185,3828,0
13185,4173,1
209793,234,0
209793,4601,0
144513,4394,0
341121,669,0
79233,3239,0
210561,2403,0
407169,3971,0
145281,1833,0
341889,1126,0
276609,498,0
276609,415,0
342657,4523,0
342657,915,0
80769,508,0
80769,2436,0
15489,3042,0
212097,102,0
81537,3484,0
16257,1102,0
344193,4357,0
344193,1357,0
344193,1892,0
82305,4508,0
278913,2102,0
17025,4836,0
213633,2916,0
410241,535,0
344961,996,0
17793,110,0
411009,4394,0
149121,2688,0
345729,429,0
280449,4044,0
280449,2138,0
280449,4605,0
411777,1102,0
149889,2303,0
149889,3734,0
346497,1724,0
84609,1050,0
150657,2856,0
85377,4842,0
20097,2824,0
216705,3016,0
413313,4280,0
348033,1861,0
86145,4173,0
20865,951,0
414081,121,0
414081,1742,0
348801,361,0
86913,129,0
218241,2066,0
349569,4589,0
87681,359,0
284289,4966,0
22401,976,0
153729,4221,0
88449,1724,0
285057,4325,0
23169,2447,0
219777,4775,0
416385,798,0
89217,1673,0
285825,2637,1
285825,361,0
23937,1884,0
220545,3734,0
89985,4842,1
221313,4427,0
417921,1968,0
352641,4173,0
418689,4847,0
156801,4504,1
353409,1049,0
91521,416,0
288129,1536,0
419457,2537,0
354177,1588,0
354177,685,0
354177,2928,0
27009,3941,0
420225,3822,0
354945,4504,0
93057,4171,0
289665,2217,1
27777,1835,0
27777,121,0
420993,1892,0
159105,941,0
290433,685,0
290433,1840,0
28545,2545,0
356481,4649,0
291201,4043,1
160641,423,0
30081,786,0
226689,1272,0
161409,3085,0
96129,4649,0
96129,2255,0
227457,4848,0
424065,2099,0
31617,4346,0
31617,4363,0
162945,1310,0
294273,1485,0
294273,3965,0
163713,1062,0
360321,625,0
32898,4040,0
360834,361,0
295554,2144,0
33666,168,0
33666,643,0
33666,4280,0
164994,3484,0
296322,4687,0
100482,1487,0
100482,4976,0
35202,2108,0
166530,4584,0
363906,1022,0
102018,467,0
102018,1056,0
299394,3472,0
37506,742,0
37506,4048,0
37506,2592,0
37506,3451,0
38274,1393,0
38274,742,0
366210,2849,0
366210,2318,0
104322,4705,0
300930,133,0
366978,2279,0
301698,3041,1
367746,4234,0
367746,4480,0
105858,4057,0
368514,742,0
368514,1340,0
172674,4043,0
369282,3578,0
42114,4394,0
108162,92,0
239490,4408,0
370818,1605,0
108930,2273,1
305538,1102,0
240258,3323,0
44418,3828,1
241026,2036,0
175746,2721,0
175746,1123,0
175746,437,0
175746,1407,0
110466,2220,0
110466,1276,0
110466,3734,0
176514,1618,1
176514,2976,0
176514,2447,0
176514,4392,0
373122,1878,0
242562,1618,0
112002,962,0
112002,4173,1
308610,2935,0
46722,2140,0
374658,1412,0
112770,508,0
47490,4933,0
178818,3623,0
310146,1556,0
48258,121,0
244866,2768,0
179586,4129,0
376194,4173,1
310914,4043,1
310914,3990,0
49026,2051,0
115074,4992,0
311682,1708,0
311682,2145,0
49794,3623,0
50562,4585,0
247170,4248,0
181890,4966,0
181890,3323,0
181890,1892,0
378498,946,0
378498,1166,0
116610,685,1
313218,4427,0
51330,2537,0
51330,4976,0
183426,806,0
118146,3473,0
184194,4419,0
53634,3853,0
250242,951,0
250242,552,0
184962,3828,0
184962,4394,0
119682,293,0
54402,4173,0
251010,4733,0
251010,3982,0
185730,133,0
120450,66,0
251778,1704,0
383106,740,0
121218,1878,0
55938,2230,0
383874,1090,1
121986,152,0
188034,396,0
122754,4282,1
319362,4744,0
188802,3941,0
385410,1411,0
123522,3284,0
320130,2047,0
189570,1340,0
124290,4219,0
124290,2791,0
59010,1166,0
386946,4131,0
125058,1487,0
321666,2036,0
59778,4287,0
256386,3062,0
191106,66,0
387714,2928,0
125826,3419,0
125826,4658,0
125826,1514,0
125826,2710,0
322434,2565,0
257154,1103,0
191874,2876,0
323202,3350,0
323202,1520,0
61314,215,1
127362,4044,0
258690,773,0
258690,1892,0
390018,3954,0
390018,3642,0
324738,2279,0
324738,4335,0
62850,2138,0
259458,4044,0
325506,3179,1
63618,542,0
194946,4605,0
391554,2435,0
326274,2031,0
260994,1918,0
260994,1500,0
195714,798,0
195714,2915,0
392322,4992,0
392322,3323,0
327042,4444,0
196482,4876,0
131202,2072,0
65922,4976,0
197250,1435,0
1410,3022,0
1410,1900,0
198018,2879,0
67458,976,0
264066,2193,0
395394,588,0
133506,1068,0
330114,467,0
264834,1581,0
330882,474,1
68994,2664,0
68994,3856,0
265602,4504,0
135042,897,0
397698,1613,0
332418,2981,0
70530,4648,0
136578,534,0
71298,1412,0
