,symboling,CarName,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,carbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg
symboling,1.0,-0.09114398395548184,-0.19431093875737107,-0.059866046842223526,-0.6640734518037423,0.30135379331927,-0.11114981624902832,0.21247093503963815,-0.5319536816234922,-0.3576115226172909,-0.23291906097426618,-0.5410381997685206,-0.2276905884774522,0.09670060396570598,-0.11312946091357065,-0.10578970928966419,0.1587377941384213,-0.13005135968493084,-0.008735140673330566,-0.17851508438647606,0.07087272404244958,0.27360624512880954,-0.035822627945541016,0.034606000711919827
CarName,-0.09114398395548184,1.0,0.0605816799532125,0.017391546349975834,0.15580628517080825,0.04458288872403044,0.03020295225457425,0.05154953928724672,-0.00047456151786917216,0.04716200150989135,-0.08476306183477403,0.20336334487325852,-0.06598720122982416,-0.014794212550363938,-0.20534085100639116,-0.1676702406487656,-0.19273980376383953,0.19511171343693154,-0.2034477188045293,0.09443254580723642,-0.09894546638747813,-0.1387701403414083,0.0925120606041373,0.1046331958635137
fueltype,-0.19431093875737107,0.0605816799532125,1.0,0.40139722794192767,0.19149053539766867,-0.10627453960267016,0.05187421661878709,-0.04006951412235501,0.30834586183695883,0.21267882217810194,0.23387981306426175,0.2846310583752249,0.21727532151806636,0.06265089295506764,-0.02454449632127305,0.06959428558590441,0.254826800988041,0.054451029213731524,0.24182882129112226,0.9843560568767528,-0.16392616716997838,-0.4768826418297392,0.25596256304729126,0.19139191125148522
aspiration,-0.059866046842223526,0.017391546349975834,0.40139722794192767,1.0,0.03179175497874775,-0.05545452856513232,0.15389726544203616,-0.057191457409002715,0.25761086421252016,0.2345390329583035,0.3005673693788303,0.08731109338446505,0.3249018818653238,0.06189720648276976,-0.04797244140305898,0.10821740368388488,0.27609919965179697,0.21261419510132107,0.22298217703518902,0.29554077239620413,0.24168524951319362,-0.18338283461888025,-0.2023618767954982,-0.25441646970672643
doornumber,-0.6640734518037423,0.15580628517080825,0.19149053539766867,0.03179175497874775,1.0,-0.34050675807542125,0.004548976153093825,-0.13775666114482119,0.4473567402065849,0.39856780380666323,0.20716821862581838,0.552207948006992,0.19737941963692154,-0.03347044683689112,-0.016009337946162303,0.02074183027275102,-0.16505850061107574,0.11925822389712673,-0.01108164388411451,0.1778883086059824,-0.12694694225409814,-0.24766817751256956,-0.012416653792617102,-0.036329847874562025
carbody,0.30135379331927,0.04458288872403044,-0.10627453960267016,-0.05545452856513232,-0.34050675807542125,1.0,0.1784622463670255,0.3099074211226616,-0.17005120807113963,-0.07132157066357403,-0.04545331593394772,-0.07891159054610057,0.08498197999516695,0.09728409469823307,0.03239419987784604,0.10472225773381279,-0.05439290166048446,0.15435075101103884,-0.09274720526169145,-0.105143871244541,0.1296393968720415,0.006010047683976301,-0.13752478934060453,-0.1438137248917457
drivewheel,-0.11114981624902832,0.03020295225457425,0.05187421661878709,0.15389726544203616,0.004548976153093825,0.1784622463670255,1.0,0.1138227481292982,0.36682790778483837,0.41607626304412704,0.37655404793405045,0.13725529399650926,0.573813037886459,0.3880916797680074,0.2671625351713424,0.4099141681253818,-0.21366065438143295,0.5127094161482209,-0.19282714749732244,0.01890320807962433,0.44580592418468845,-0.13990541021001932,-0.5036551190372932,-0.549492113269451
enginelocation,0.21247093503963815,0.05154953928724672,-0.04006951412235501,-0.057191457409002715,-0.13775666114482119,0.3099074211226616,0.1138227481292982,1.0,-0.18779024405022002,-0.050988541389625074,-0.051697641819081104,-0.10623424881131638,0.050468195346992546,0.023221115270381565,0.18304761423599838,0.19682630364806514,-0.09262465507753259,0.18504194189420198,-0.13845548869396226,-0.019762004865439792,0.3178393549395681,0.1984608468928613,-0.15348745682146053,-0.10202621329648938
wheelbase,-0.5319536816234922,-0.00047456151786917216,0.30834586183695883,0.25761086421252016,0.4473567402065849,-0.17005120807113963,0.36682790778483837,-0.18779024405022002,1.0,0.8745874759642616,0.7951436436169699,0.5894347616933513,0.776386327782211,0.2890973326305849,0.3395072620942638,0.5693286815396971,-0.22979497081534273,0.48874987527566727,0.1609590472972631,0.24978584518743374,0.35329447820540044,-0.36046874776149157,-0.47041361340548443,-0.5440819234088287
carlength,-0.3576115226172909,0.04716200150989135,0.21267882217810194,0.2345390329583035,0.39856780380666323,-0.07132157066357403,0.41607626304412704,-0.050988541389625074,0.8745874759642616,1.0,0.8411182684818451,0.4910294575042146,0.8777284608306419,0.30264229548021204,0.4306719851681182,0.683359872651903,-0.30981808356851975,0.6064543579849697,0.12953261112791192,0.1584137064402066,0.5526229673941828,-0.287242202818439,-0.6709086615585702,-0.7046616035425508
carwidth,-0.23291906097426618,-0.08476306183477403,0.23387981306426175,0.3005673693788303,0.20716821862581838,-0.04545331593394772,0.37655404793405045,-0.051697641819081104,0.7951436436169699,0.8411182684818451,1.0,0.27921032110974964,0.8670324646791235,0.3283339003707444,0.5450074589517842,0.7354334047796369,-0.21884771553833296,0.5591499086023924,0.18294169251421818,0.18112862677079755,0.640732075572292,-0.22001230306613656,-0.6427043407108972,-0.6772179173117139
carheight,-0.5410381997685206,0.20336334487325852,0.2846310583752249,0.08731109338446505,0.552207948006992,-0.07891159054610057,0.13725529399650926,-0.10623424881131638,0.5894347616933513,0.4910294575042146,0.27921032110974964,1.0,0.29557172619484956,-0.013689396981500129,-0.013995424865186895,0.06714874180270564,-0.2467587781249231,0.17107092150966022,-0.05530667369878784,0.26121422631993957,-0.108802058984136,-0.32041072381018637,-0.04863962869509301,-0.10735762697679832
carbweight,-0.2276905884774522,-0.06598720122982416,0.21727532151806636,0.3249018818653238,0.19737941963692154,0.08498197999516695,0.573813037886459,0.050468195346992546,0.776386327782211,0.8777284608306419,0.8670324646791235,0.29557172619484956,1.0,0.41256773367577315,0.6097267153698458,0.8505940734262751,-0.22908069766326475,0.6484797487010711,0.16879003525191957,0.15136174003093078,0.7507392514434804,-0.2662431843367311,-0.7574137845056006,-0.797464792281179
enginetype,0.09670060396570598,-0.014794212550363938,0.06265089295506764,0.06189720648276976,-0.03347044683689112,0.09728409469823307,0.3880916797680074,0.023221115270381565,0.2890973326305849,0.30264229548021204,0.3283339003707444,-0.013689396981500129,0.41256773367577315,1.0,0.1457844897660416,0.2454847491678887,-0.06101040720378359,0.309614252168877,-0.170408030970179,0.051808821131711986,0.3667767073826791,0.03935283878705375,-0.3634210797396349,-0.3808411225948833
cylindernumber,-0.11312946091357065,-0.20534085100639116,-0.02454449632127305,-0.04797244140305898,-0.016009337946162303,0.03239419987784604,0.2671625351713424,0.18304761423599838,0.3395072620942638,0.4306719851681182,0.5450074589517842,-0.013995424865186895,0.6097267153698458,0.1457844897660416,1.0,0.8460306875095442,-0.3341886858361417,0.23139902776063676,0.008209527238238732,-0.020001848743340406,0.6920162457155682,-0.12417224734795446,-0.4458371801515623,-0.46666592013738656
enginesize,-0.10578970928966419,-0.1676702406487656,0.06959428558590441,0.10821740368388488,0.02074183027275102,0.10472225773381279,0.4099141681253818,0.19682630364806514,0.5693286815396971,0.683359872651903,0.7354334047796369,0.06714874180270564,0.8505940734262751,0.2454847491678887,0.8460306875095442,1.0,-0.2749127557731007,0.5837743274170996,0.2031285879029555,0.028971359704083238,0.8097686545377301,-0.24465982533217584,-0.6536579163114191,-0.6774699078386529
fuelsystem,0.1587377941384213,-0.19273980376383953,0.254826800988041,0.27609919965179697,-0.16505850061107574,-0.05439290166048446,-0.21366065438143295,-0.09262465507753259,-0.22979497081534273,-0.30981808356851975,-0.21884771553833296,-0.2467587781249231,-0.22908069766326475,-0.06101040720378359,-0.3341886858361417,-0.2749127557731007,1.0,-0.22159014197148422,0.30933283560162306,0.22127608862388298,-0.2666829010699337,0.05036150351526633,0.24350216907854316,0.21882689217935095
boreratio,-0.13005135968493084,0.19511171343693154,0.054451029213731524,0.21261419510132107,0.11925822389712673,0.15435075101103884,0.5127094161482209,0.18504194189420198,0.48874987527566727,0.6064543579849697,0.5591499086023924,0.17107092150966022,0.6484797487010711,0.309614252168877,0.23139902776063676,0.5837743274170996,-0.22159014197148422,1.0,-0.0559089825200892,0.005197338700589246,0.5736768234657202,-0.25497552836873244,-0.5845317156694849,-0.5870117842417781
stroke,-0.008735140673330566,-0.2034477188045293,0.24182882129112226,0.22298217703518902,-0.01108164388411451,-0.09274720526169145,-0.19282714749732244,-0.13845548869396226,0.1609590472972631,0.12953261112791192,0.18294169251421818,-0.05530667369878784,0.16879003525191957,-0.170408030970179,0.008209527238238732,0.2031285879029555,0.30933283560162306,-0.0559089825200892,1.0,0.18611011028795452,0.08093953574495318,-0.06796375316490949,-0.042144754040548696,-0.043930930446513625
compressionratio,-0.17851508438647606,0.09443254580723642,0.9843560568767528,0.29554077239620413,0.1778883086059824,-0.105143871244541,0.01890320807962433,-0.019762004865439792,0.24978584518743374,0.1584137064402066,0.18112862677079755,0.26121422631993957,0.15136174003093078,0.051808821131711986,-0.020001848743340406,0.028971359704083238,0.22127608862388298,0.005197338700589246,0.18611011028795452,1.0,-0.20432622618867805,-0.43574051445619744,0.32470142452073286,0.2652013891633966
horsepower,0.07087272404244958,-0.09894546638747813,-0.16392616716997838,0.24168524951319362,-0.12694694225409814,0.1296393968720415,0.44580592418468845,0.3178393549395681,0.35329447820540044,0.5526229673941828,0.640732075572292,-0.108802058984136,0.7507392514434804,0.3667767073826791,0.6920162457155682,0.8097686545377301,-0.2666829010699337,0.5736768234657202,0.08093953574495318,-0.20432622618867805,1.0,0.1310725053563115,-0.80145617566627,-0.7705438913729592
peakrpm,0.27360624512880954,-0.1387701403414083,-0.4768826418297392,-0.18338283461888025,-0.24766817751256956,0.006010047683976301,-0.13990541021001932,0.1984608468928613,-0.36046874776149157,-0.287242202818439,-0.22001230306613656,-0.32041072381018637,-0.2662431843367311,0.03935283878705375,-0.12417224734795446,-0.24465982533217584,0.05036150351526633,-0.25497552836873244,-0.06796375316490949,-0.43574051445619744,0.1310725053563115,1.0,-0.11354438353910273,-0.054274808342345486
citympg,-0.035822627945541016,0.0925120606041373,0.25596256304729126,-0.2023618767954982,-0.012416653792617102,-0.13752478934060453,-0.5036551190372932,-0.15348745682146053,-0.47041361340548443,-0.6709086615585702,-0.6427043407108972,-0.04863962869509301,-0.7574137845056006,-0.3634210797396349,-0.4458371801515623,-0.6536579163114191,0.24350216907854316,-0.5845317156694849,-0.042144754040548696,0.32470142452073286,-0.80145617566627,-0.11354438353910273,1.0,0.9713370423425045
highwaympg,0.034606000711919827,0.1046331958635137,0.19139191125148522,-0.25441646970672643,-0.036329847874562025,-0.1438137248917457,-0.549492113269451,-0.10202621329648938,-0.5440819234088287,-0.7046616035425508,-0.6772179173117139,-0.10735762697679832,-0.797464792281179,-0.3808411225948833,-0.46666592013738656,-0.6774699078386529,0.21882689217935095,-0.5870117842417781,-0.043930930446513625,0.2652013891633966,-0.7705438913729592,-0.054274808342345486,0.9713370423425045,1.0
